TXN_HOUR,TOTAL_TXNS,FRAUD_TXNS,FRAUD_RATE
12,207949,7621,3.66
8,208967,7627,3.65
14,207753,7558,3.64
0,208141,7572,3.64
11,207640,7541,3.63
5,209498,7580,3.62
4,208532,7559,3.62
22,208272,7511,3.61
6,208093,7512,3.61
7,208114,7515,3.61
3,208256,7497,3.60
17,208362,7490,3.59
1,207952,7462,3.59
19,208431,7455,3.58
10,209166,7496,3.58
21,208555,7458,3.58
13,208055,7425,3.57
23,207687,7416,3.57
15,208051,7384,3.55
9,208983,7428,3.55
18,208960,7401,3.54
2,208680,7385,3.54
16,207897,7365,3.54
20,208006,7295,3.51
